ResearchCenter,Researcher,Topic
STKK,"Agus Budi Raharjo, Dr., S.Kom., M.Kom.","Earth and Planetary Science, Computer Science, and Engineering, with particular expertise in earthquake Epicenter, indonesia, sea Level Rise, root-Mean-Square Error, geographically Weighted Regression, sentinel-5P, land Surface Temperature, agricultural land, algorithm Chart, iterative Algorithm, monolithic Architecture, related Languages, training Dataset, feature Extraction, distribution Network, bidirectional Long Short-Term Memory Networks, dictionary of Words, support Vector Machines, deep Learning Methods, word Planting, printer, class Prediction, bidirectional Encoder Representation Of Transformers, social Pressure, level of Participation, object-oriented software, electric Power Distribution, main Factors, lighting Conditions, customization, asset Management, end Users, estimated Distance, high Growth Rate, and computer Vision."
STKK,"Dendy Satrio, Dr.S.ST.","Engineering, with particular expertise in fluid Flow, temperature Distribution, renewable energy, natural gas, experimental Investigation, rotation Speed, power Coefficient, tank Ship Models, combustion, diameter Ratio, speed ​​Ratio, gap Ratio, supporting Structure, horizontal Axis, engineering Energy, turbin Blade, and hydrokinetic Turbine."
STKK,"Dony Setyawan, Dr., Ir., S.T., M.Eng.","Engineering, with particular expertise in still Water and still Water."
STKK,"I Ketut Suastika, Prof., Dr., Ir., M.Sc.","Engineering, with particular expertise in surface Water, layer Flow, longitudinal direction, energy Dissipation, random Waves, group Speed, equivalent Sand Grain Coarseness, turbulent Boundary Layer, tank Ship Models, spectral Model, policy Maker, biological fouling, smooth Surface, ship Resistance, full Scale, offshore Structures, numerical Studies, and blocking Point."
STKK,"Aries Sulisetyono, Prof., S.T., MA.Sc., Ph.D.","Engineering, with particular expertise in finite Element Analysis, lift Movement, pitch Movement, shaft Vibration, experimental Investigation, free Fall, autonomous Underwater Vehicle, take off, make a Match, face plate, longitudinal Center of Gravity, global Positioning System, and wave Spectrum."
STKK,"Suntoyo, Prof., S.T., M.Eng., Ph.D.","Earth and Planetary Science and Engineering, with particular expertise in stress Analysis, high Flow, maritime Boundaries, batimeter, oceanographic Phenomena, phytoplankton, aerial Photo, ocean Waves, nonlinear Waves, indonesia, bed Roughness, sea Level Rise, community, exceeds the limit, acoustic Method, mapping Method, morphology, harbor, coastline Changes, seaweed, samudra India, coastal Sediments, earth's Surface Sediment Transport, ultrasonic, random Shape, graving dock, hydrodynamics, good deal, resistance Coefficient, input Heat, thermal Barrier, project Planning, subsea Pipeline, data preprocessing, suspended Sediment, computer Simulation, minimum Yield Pressure, body Point, and volume Analisis."
STKK,"Heri Supomo, Prof., Dr., Ir., M.Sc.","Agricultural and Biological Sciences and Engineering, with particular expertise in carcinoembryonic Antigen, apus, mackerel, more, polyamide, giant, tectonic kiss, genetic Algorithms, environmental Impact, maximum Tensile Strength, laminate, numerical Model, resistance Reduction, marine Care, dynamic Behavior, value Engineering, and periodic Time."
STKK,"I Ketut Aria Pria Utama, Prof., Ir., M.Sc., Ph.D.","Engineering, with particular expertise in still Water, fuel Costs, greenhouse Gases, turbulent Boundary Layer, tank Ship Models, biological fouling, ship Resistance, the Pendulum System, full Scale, and numerical Studies."
STKK,"Widya Utama, Dr., Ir., DEA",
STKK,"Sufian Imam Wahidi, S.T., M.Sc.","Materials Science, Agricultural and Biological Sciences, and Engineering, with particular expertise in catalysis, material Class, laminate, more, consumables, operating costs, design Steps, process Monitoring, primary Device, making process, assembly Process, value Engineering, line Plan, operational System, monitoring System, process System, and industry Standards."
STKK,"Amien Widodo, Dr., Ir., M.Si.",
STKK,"Muhammad Badrus Zaman, Dr. Eng., S.T., M.T.","Engineering, with particular expertise in air Ballast, stability Analysis, direct current, propeller, current Distribution, shipyard, intake Valve, dual Fuel Engine, lubricant, centralized Maintenance, pusher, bow Thruster, converter, compression Ratio, augmented Reality, temporary, computer Simulation, distribution System, system Control, solar, risk Level, and maintenance Tasks."
STKK,"Muhammad Zikra, Dr. Eng., S.T., M.Sc.","Earth and Planetary Science and Engineering, with particular expertise in spectrum Analysis, batimeter, beach Erosion, water Wave, wave Climate, indonesia, wind velocity, wave Modeling, remote Sensing, time Series, earth's Surface Sediment Transport, climate Variations, real Time, reanalysis, impact Load, anchorage Design, video camera, current Speed, spectral Correlation, breakwater, cross section, monitoring Program, and engineering Energy."
STKK,"Achmad Zubaydi, Prof., Ir., M.Eng., Ph.D.","Materials Science and Engineering, with particular expertise in capital Analysis, capital Analysis, capital Analysis, and capital Analysis."
PEB,"Imam Abadi, Dr., S.T., M.T.","Engineering, with particular expertise in genetic Algorithms, fossil Fuels, renewable energy, membership Functions, artificial Neural Networks, extreme Learning Machine, support Vector Machines, compressed Air Motor, maximum Power Point Tracking, battery Charging, yaw corner, and engineering Energy."
PEB,"Amiadji, Ir., M.Sc., MBA.","Engineering, with particular expertise in deep Water, propeller, environmental Burden, cooling Load, computational Fluid Dynamics, push down style, rotational Motion, experimental Investigation, patrol Ship, fishing Vessel, lift Coefficient, diesel Engine, problem Statement, flat Plate, floating Platform, vortex, drive System, and significant Wave Height."
PEB,"Dimas Anton Asfani, S.T., M.T., Ph.D.","Engineering, with particular expertise in finite Element Analysis, direct current, the inside part, ferroresonance, circuit Breakdown, artificial Neural Networks, dC-to-DC converter, peak Value, energy Storage, area Ratio, rotor, temporary, electric Scooter, input Voltage, breakthrough Voltage, overvoltage, engineering Energy, electrical Power Engineering, and wind Energy."
PEB,"Mochamad Ashari, Prof., Dr., Ir., M.Eng.","Engineering, with particular expertise in genetic Algorithms, firefly Algorithm, partial Shadow, reactive Power, radial Distribution, renewable energy, dC-to-DC converter, induction Motor, compressed Air Motor, particle Swarm Optimization, diesel Power Plant, fuzzy Logic Controller, constant Voltage, engineering Energy, hybrid Power, fixed Point, and vertical Axis Wind Turbine."
PEB,"Beny Cahyono, S.T., M.T., Ph.D.","Materials Science and Engineering, with particular expertise in fishing Vessel, oil Composition, low Load Condition, prevent Collisions, increase Efficiency, diesel Engine, methane, heat Recovery, engine Upgrade, single Cylinder, solar, numerical Studies, cylinder Pressure, residence, wave Height, and fluid Viscosity."
PEB,"Hamzah Fansuri, Prof., S.Si., M.Si., Ph.D.","Materials Science, Engineering, and Chemical Engineering, with particular expertise in catalytic Activity, al2O, analysis Thermogravimetry, particle Size Analysis, he loves, x-Ray Diffraction, thermal Expansion, cathode, density, metal-Organic Framework, cake ostriches, morphology, partial Oxidation, surface (Surface Science), semen Portland, magnetic Properties, fourier Transform Infrared Spectroscopy, thermal Stability, strontium is a type of strontium formed from a mixture of the following elements:, rice Husk Ash, seawater Desalination, light Diffraction, synthetic gas, downflow Gasifier, langmuir isotherm, separation Performance, asymmetric Membranes, managing time, inversion Method, multi level, movers, polymer Binders, cross section, state Reaction, cavity, municipal Solid Waste, silicon Dioxide, engineering Energy, biogas, electrodeposition, phenol, grafena, calcite, chitosan, dirt, methanol, methyl Orange, pseudo Second Order Model, evaporation, porcelainite, biochemical Reactor, and ultrafiltration."
PEB,"Setiyo Gunawan, Prof., S.T., Ph.D.","Pharmacology, Toxicology and Pharmaceutical Sciences, Food Science, and Agricultural and Biological Sciences, with particular expertise in 2. Propanol, ionic Liquids, aliphatic Hydrocarbons, double Bind, carbohydrate, crystallization, methanol, natural Products, silica Gel, squalene, triasilgliserol, cholestana Derivatives, hibiscus, bran, fermentation, solid State Fermentation, protein Content, active Packaging, accelerated shelf life, response Surface Methodology, molasses, also, ragi, rhizopus, starch Fiber, sucrose, tocopherol, save Age, yogurt, agar-agar, raw material, a photo manila, calophyllum inophyllum, leaf Extract, flavonoid, enzymatic Hydrolysis, straw, artificial intelligence, kolestan, fruit peel, esther Candle, herbal medicine, mutual purification, solar Radiation, rumen, triglycerides, xanton, and xylocarpus."
PEB,"Harus Laksana Guntur, Prof., Dr., S.T., M.Eng.","Engineering, with particular expertise in peak Load, optimal Design, wave Energy, resonance Frequency, synchronous Generator, road, artificial Neural Networks, characteristic Thermal, rotation Speed, dampening Strength, driving Comfort, fuzzy Logic Control, economic Report, hole, permanent Magnets, energy Harvesting, shock Absorption, piezoelectric, exactly, electric Scooter, vehicle Suspension, engineering Energy, and recovery Time."
PEB,"Nur Laila Hamidah, Dr. Eng., S.T., M.Sc.","Materials Science, Engineering, and Chemical Engineering, with particular expertise in al2O3, catalysis, ionic Conductivity, scanning Electron Microscope, surface (Surface Science), polyester, oxidation Reaction, serious, fourier Transform Infrared Spectroscopy, supercapacitor, quantum Dots, voltammetry Glides, cost-Benefit Analysis, review Article, residential Buildings, computational Fluid Dynamics, alkaline Water Electrolysis, extended Kalman Filter, cell Concentration, mass Flow Rate, optimization Methods, cutting Method, analytical Model, dipole Moment, retro Installation, waste to Energy, nano Fiber, half Cell, room Temperature, engineering Energy, photocatalytic Degradation, grafena, resin Poliester, resin Urea Formaldehyde, inorganic Compounds, spectrometry, and titanium Dioxide."
